UID,Review_ID,Name,Rating,Text
14,5,Aliyan M.,5,very nice and good mobile in this price range and its my first experience very good experience
14,6,Muhammad H.,5,"Honest Seller, the product was same as shown. delivery little bit late but the seller 100% Recommend."
15,1,Muhammad K.,5,"It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services."
15,2,Umar,5,Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.
15,3,khan K.,5,Excellent 👌
15,4,Amdad S.,5,Genuine Product ❤️❤️❤️ Thanks Seller 😊🤩🤩 Thanks Daraz 👍👍
15,5,3***8,5,Awesome mobile excellent service by
15,6,Muhammad A.,5,ماشاءاللہ جس رنگ میں آرڈر کیا تھا وہی ملا ہے اور موبائل ڈبہ پیک تھا جو اپنے ہاتھ سے کھولا اور آج سے ہی وارنٹی شروع ہوئی، ڈیلیور بھی وقت سے پہلے ہوا۔شکریہ سیلر
16,1,Abdul S.,5,1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.
16,2,3***8,5,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
16,3,M J.,5,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
16,4,M J.,5,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
16,5,3***8,5,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
16,6,Muhammad A.,5,"Product was delivered within two days, Alhamdolillah I received the same phone as they promised. I was worried about the delivery of the product but the seller was very cooperative. Thankyou again. I am unable to share my phone's pictures because i captured them from my old phone, and unfortunately its battery is dead, (the reason i bought this phone). I would definitely recommend people to buy from AlhamdoLillah Traders Co. They are trusted 😃, From: Dera Ismail Khan."
17,1,Syyeda Q.,5,Zabrdast mobile hy. Original packing k sath. Markeet me final 39000 ka mil raha tha. Daraz se 36500 ka mila hy. Thnkew daraz
17,2,zahid I.,5,Thanks Daraz. Original device in a low price and deliver safely on time. Keep it up
17,3,Saima A.,5,best mobile good and save and fast delivery on time.. thank you selar thank you daraz
17,4,No O.,5,buht hi Acha experience raha. Market se buht hi discounted price pr buy kiya and also delivered within one day. Happy with purchase😊
17,5,Qamber A.,5,It was worth it! The mobile phone is original and really good in performance and it is really recommended. The only thing missing is that we didn't get any warranty card in the box.
17,6,0***4,5,product is made in Pakistan however it is of good quality
18,1,Abdul G.,4,"Assalam u Alaikum Received before due date original product,packing was a little poor , but seller is coprative.It was my first purchase on installment happy to get it on 0% Mark up"
18,2,S***n,5,The seller was very cooperative and delivered the phone in just 3 days upon my request. The phone is just perfect and everything what I was looking for.
18,3,*******686,5,Same as described.. Amazing Packing and received just in 2 days.. Highly recommend
18,4,S***n,5,The seller was very cooperative and delivered the phone in just 3 days upon my request. The phone is just perfect and everything what I was looking for.
18,5,3***9,5,Masha Allah Jo select kia tha wohi same received Huwa hai aur bohat fast delivery hui hai thanks seller 👍
18,6,Abeel J.,5,Received within two days same as shown in advertisement.
19,1,Shahid B.,5,mobile bahot acha hai. 8 gb ram h aor rom 128 gb hain. software normal lag ra h. camera theek h. overall ais price m zabardast chiz h. saller bahot acha bnda h. main nay usy msg kr kr bht tang kya 😂 lkn saller nay mjhy hr bar reply di. thank you Daraz and thank you saller
19,2,Ahmad N.,5,"It is the best product and the original as I have advertised, I have got no two opinions, you also order you will like daraz and service is also good and the thing is also cute and has come with absolutely good Awesome products and original Spark phone with box and charger and warranty crad thank you daraz"
